Famille;Genre;Espèce;Cultivar;Origine;Année de plantation;Nom du site;Localisation;Photo 1;Photo 2;Photo 3;Géolocalisation
Adoxaceae;Viburnum;;Chesapeake;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/c6d23e16bb0e8648b64c8cec0bb4d3b2;;;47.271188, -1.585787
Adoxaceae;Viburnum;mongolicum;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/560ea75190a0bb343b2e44355d9b28b5;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/a5bf7e184b8cc5f39009b99feb8804a7;;47.269525, -1.585142
Adoxaceae;Viburnum;opulus;Notcutt's Variety;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/7c27c1c15c0f77ccb5692d7e569183aa;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/5800f007a6ddb7cf9b30c653aef929ac;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/ce0db3d57472f00724dd01b274ba353a;47.270842, -1.585688
Adoxaceae;Viburnum;sargentii;Onondaga;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/1def048bdc80a873e8eabf17d279af31;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/4e600282d563237cdf92f904e1120fc4;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/45ecbadf35d1c27a6c7430de96b73435;47.269942, -1.58458
Adoxaceae;Viburnum;setigerum;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/842826fda1225a916a4a7b0334c776be;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/202bf581c175557f2d6e591d62570dc1;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/7746290d7f9aeed4c486ec957b5a88d6;47.271337, -1.580678
Adoxaceae;Viburnum;utile;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/952f85858c363fd0cb749ca5aa7d73f1;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/48f293bd1c102a6ce583992248f1727d;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/2598180d477622a3af8921ca38f1a8cb;47.271517, -1.586467
Adoxaceae;Viburnum;x burkwoodii;Mohawk;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/0cbea4bff9b23698be15637c336e0f6d;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/662bb56527bd27b8e8f0bcb7bc95b7b0;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/686b795c4ebf81c9373517b098319da8;47.271437, -1.586247
Amaryllidaceae;Narcissus;papyraceus Ker Gawl.;barlae (Parl.) Nyman;J.B. Lyon (France);2011;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Amaryllidaceae;Ipheion;uniflorum Raf.;;J.B.Friedrich Jena,Jena,All.;2013;Jardin des Plantes;I1;;;;47.2185256, -1.5421325
Amaryllidaceae;Nerine;bowdenii W.Watson;;J.B.Osterr-Garten,Graz,Autriche;2011;Jardin des Plantes;I2;;;;47.2185657, -1.5426599
